UCC Topic,UCC Sub Topic,OCW topic & subtopic 1,OCW topic & subtopic 2
Business,Other,Business,
Business,Other Business,Business,
Business,Digital Business/IT,Information Technology,
Business,Systems Thinking,Systems Engineering,
Business,Entrepreneurship,Entrepreneurship,
Business,Operations,Operations Management,
Business,Finance,Finance,
Business,Strategy,Innovation,
Business,Marketing & Communications,Marketing,Communications
Business,Leadership & Organizations,Leadership,Organizational Behavior
Business,Management,Management,
Business,Business Innovation,Innovation,
Business,Business Analytics,Finance,Accounting
Technology,Other,,
Technology,Other Technology,,
Technology,Quantum Computing,Physics,Computer Science
Technology,Systems Engineering,Systems Engineering,
Technology,PROTOTYPE/LAB,,
Technology,AI/Machine Learning,Computer Science,
Technology,Data Science,Computer Science,
Technology,Blockchain,Computer Science,
Technology,Tech Management & Business,Management,Business
Technology,Technology Innovation,Innovation
Engineering,Systems Engineering,Systems Engineering,
Engineering,Manufacturing,Mechanical Engineering,
Engineering,Sustainability,Environmental Engineering,
Innovation,no sub category,innovation,
Industry-Based,Other,,
Industry-Based,BioTech,Biological Engineering,
Industry-Based,Manufacturing,Mechanical Engineering,
Industry-Based,Real Estate,Real Estate,
Industry-Based,Educators,Teaching and Education,
